"","Date","Region","monthly_inflation","Unemployment_Rate","wage_growth","Real_GDP_Index","POPTHM","real_wage_growth","pre_2020","pre_mid_2020","post_2020"
"1",2018-01-01,"New England",0.00700000000000003,0.043,0.035,20001.73,327969,0.028,0,0,0
"2",2018-02-01,"New England",0.00365441906653421,0.042,0.035,20097.48,328085,0.0313455809334658,0,0,0
"3",2018-03-01,"New England",0.00295840424268816,0.039,0.034,20032.979,328219,0.0310415957573118,0,0,0
"4",2018-04-01,"New England",0.00441958428285333,0.034,0.033,20090.314,328364,0.0285804157171467,0,0,0
"5",2018-05-01,"New England",0.00429209841378969,0.033,0.034,20178.485,328521,0.0297079015862103,0,0,0
"6",2018-06-01,"New England",-0.000811720064155209,0.036,0.034,20182.623,328692,0.0348117200641552,0,0,0
"7",2018-07-01,"New England",0.000303418845246659,0.036,0.035,20258.177,328863,0.0346965811547533,0,0,0
"8",2018-08-01,"New England",-0.000665362035225028,0.034,0.035,20287.991,329040,0.035665362035225,0,0,0
"9",2018-09-01,"New England",0.00408295147456235,0.031,0.039,20282.317,329216,0.0349170485254377,0,0,0
"10",2018-10-01,"New England",-0.00083862348730863,0.029,0.038,20285.465,329379,0.0388386234873086,0,0,0
"11",2018-11-01,"New England",-0.00323043440071039,0.028,0.038,20302.399,329527,0.0412304344007104,0,0,0
"12",2018-12-01,"New England",0.000362276269925116,0.03,0.038,20326.767,329659,0.0376377237300749,0,0,0
"13",2019-01-01,"New England",0.0052462097113606,0.04,0.038,20439.896,329766,0.0327537902886394,0,0,0
"14",2019-02-01,"New England",-0.000632880580302787,0.037,0.039,20397.279,329862,0.0396328805803028,0,0,0
"15",2019-03-01,"New England",0.00854442712392825,0.035,0.04,20457.77,329977,0.0314555728760718,0,0,0
"16",2019-04-01,"New England",0.00424084932909577,0.028,0.044,20529.751,330103,0.0397591506709042,0,0,0
"17",2019-05-01,"New England",0.00258763322944314,0.03,0.043,20572.892,330240,0.0404123667705569,0,0,0
"18",2019-06-01,"New England",-0.000757975533701065,0.031,0.044,20704.215,330393,0.0447579755337011,0,0,0
"19",2019-07-01,"New England",-0.000604920016131223,0.033,0.044,20808.131,330553,0.0446049200161312,0,0,0
"20",2019-08-01,"New England",0.000807048221131243,0.031,0.045,20841.719,330729,0.0441929517788688,0,0,0
"21",2019-09-01,"New England",0.00171839450113762,0.028,0.044,20880.121,330904,0.0422816054988624,0,0,0
"22",2019-10-01,"New England",-0.00255879477890873,0.027,0.046,20901.125,331066,0.0485587947789087,0,0,0
"23",2019-11-01,"New England",0.0026902641262887,0.027,0.045,21031.694,331213,0.0423097358737113,0,0,0
"24",2019-12-01,"New England",-0.000824078421602339,0.027,0.045,21023.709,331345,0.0458240784216023,0,0,0
"25",2020-01-01,"New England",0.00710634584216432,0.037,0.044,20997.514,331443,0.0368936541578357,1,0,0
"26",2020-02-01,"New England",0.00197116574932874,0.035,0.044,21065.812,331525,0.0420288342506713,1,0,0
"27",2020-03-01,"New England",-0.00158713564782697,0.039,0.043,20017.153,331642,0.044587135647827,1,0,0
"28",2020-04-01,"New England",-0.00310316599082384,0.139,0.039,18205.46,331699,0.0421031659908238,1,0,0
"29",2020-05-01,"New England",-0.00587235505308986,0.134,0.042,18963.824,331701,0.0478723550530899,1,0,0
"30",2020-06-01,"New England",0.0046391901107451,0.123,0.04,20003.128,331744,0.0353608098892549,1,0,0
"31",2020-07-01,"New England",0.000525832727828909,0.114,0.041,20343.438,331811,0.0404741672721711,1,1,0
"32",2020-08-01,"New England",0.00203533649941241,0.089,0.041,20546.906,331885,0.0389646635005876,1,1,0
"33",2020-09-01,"New England",0.000562633506255698,0.083,0.039,20760.257,331966,0.0384373664937443,1,1,0
"34",2020-10-01,"New England",-0.0055945788816561,0.068,0.037,20877.365,332041,0.0425945788816561,1,1,0
"35",2020-11-01,"New England",0.00459093697285692,0.065,0.04,20662.384,332079,0.0354090630271431,1,1,0
"36",2020-12-01,"New England",0.00272861708724898,0.065,0.039,20779.743,332062,0.036271382912751,1,1,0
"37",2021-01-01,"New England",0.00529966413259629,0.07,0.042,21103.554,332007,0.0367003358674037,1,1,1
"38",2021-02-01,"New England",0.00287720759431375,0.068,0.041,20796.996,331983,0.0381227924056862,1,1,1
"39",2021-03-01,"New England",0.00972046582737209,0.063,0.04,21279.419,332023,0.0302795341726279,1,1,1
"40",2021-04-01,"New England",0.00536488709436218,0.057,0.039,21392.051,332089,0.0336351129056378,1,1,1
"41",2021-05-01,"New England",0.00257516315564399,0.055,0.039,21372.924,332161,0.036424836844356,1,1,1
"42",2021-06-01,"New England",0.00828982873250921,0.059,0.04,21406.61,332249,0.0317101712674908,1,1,1
"43",2021-07-01,"New England",0.00238189392754996,0.055,0.041,21534.529,332375,0.03861810607245,1,1,1
"44",2021-08-01,"New England",0.00181658042496979,0.051,0.041,21554.189,332506,0.0391834195750302,1,1,1
"45",2021-09-01,"New England",0.000174002234554932,0.045,0.044,21630.124,332610,0.0438259977654451,1,1,1
"46",2021-10-01,"New England",0.00911979343118502,0.042,0.042,21910.79,332708,0.032880206568815,1,1,1
"47",2021-11-01,"New England",0.00910089012694063,0.038,0.041,21889.444,332806,0.0318991098730594,1,1,1
"48",2021-12-01,"New England",0.00380354637988708,0.035,0.043,22085.674,332891,0.0391964536201129,1,1,1
"49",2022-01-01,"New England",0.00885027097236529,0.045,0.043,21919.366,332933,0.0341497290276347,1,1,1
"50",2022-02-01,"New England",0.00622430587002649,0.042,0.044,21878.75,332972,0.0377756941299735,1,1,1
"51",2022-03-01,"New England",0.014365888955561,0.037,0.048,21918.133,333067,0.033634111044439,1,1,1
"52",2022-04-01,"New England",0.00141798315818774,0.032,0.049,21942.301,333191,0.0475820168418123,1,1,1
"53",2022-05-01,"New England",0.0113017417365244,0.033,0.052,21936.131,333317,0.0406982582634756,1,1,1
"54",2022-06-01,"New England",0.00795423309510722,0.036,0.055,21883.98,333451,0.0470457669048928,1,1,1
"55",2022-07-01,"New England",-0.00325544135944508,0.036,0.052,21953.155,333599,0.0552554413594451,1,1,1
"56",2022-08-01,"New England",0.00178693570451439,0.035,0.053,22185.761,333762,0.0512130642954856,1,1,1
"57",2022-09-01,"New England",0.00103269636166571,0.031,0.055,22066.351,333925,0.0539673036383343,1,1,1
"58",2022-10-01,"New England",0.00540540540540541,0.031,0.058,22231.955,334071,0.0525945945945946,1,1,1
"59",2022-11-01,"New England",0.00378209694379429,0.03,0.062,22262.038,334206,0.0582179030562057,1,1,1
"60",2022-12-01,"New England",-0.00463799949311486,0.029,0.061,22259.166,334326,0.0656379994931149,1,1,1
"61",2023-01-01,"New England",0.00865720032931308,0.037,0.06,22415.615,334433,0.0513427996706869,1,1,1
